Class Session Code,Subject Area,Course Catalog Number,Class Number,Course Component Short Description,Class Start Date,End Date,Instruction Mode Description,Facility ID,Start Time,End Time,Derived Meeting Pattern,Instructor Name,Instructor Role Description
1,BIOL-L,490,29880,Ind Study,1/12/2026,5/8/2026,Independent/Directed Study, , , , ,"Chauret,Christian",Primary Instructor
1,BIOL-L,490,34545,Ind Study,1/12/2026,5/8/2026,Independent/Directed Study, , , , ,"Rifai,Lina",Primary Instructor
1,BIOL-L,498,34098,Ind Study,1/12/2026,5/8/2026,In Person, , , , ,"Rifai,Lina",Primary Instructor
8W2,BUKO-C,599,27360,Lecture,3/9/2026,5/8/2026,In Person, , , , ,"Krabbenhoft,Alan George",Primary Instructor
8W1,BUKO-D,542,26702,Lecture,1/12/2026,3/6/2026,Hybrid-On Campus & Online,KOMN127,6:00:00 PM,8:45:00 PM,R,"Cox,Steve R",Primary Instructor
8W2,BUKO-F,542,26703,Lecture,3/9/2026,5/8/2026,Hybrid-On Campus & Online,KOMN127,6:00:00 PM,8:45:00 PM,R,"Cox,Steve R",Primary Instructor
8W1,BUKO-K,542,27277,Lecture,1/12/2026,3/6/2026,Hybrid-On Campus & Online,KOMN127,6:00:00 PM,8:45:00 PM,T,"Chulkov,Dmitriy",Primary Instructor
8W2,BUKO-M,570,27153,Lecture,3/9/2026,5/8/2026,Hybrid-On Campus & Online,KOMN127,6:00:00 PM,8:45:00 PM,T,"Meybodi,Mohammad Z.",Primary Instructor
1,BUS-A,201,26704,Lecture,1/12/2026,5/8/2026,In Person,KOMN113,11:30:00 AM,12:45:00 PM,TR,"Chimhanda,Tsarai Runyararo",Primary Instructor
1,BUS-A,202,26705,Lecture,1/12/2026,5/8/2026,In Person,KOMN113,1:00:00 PM,2:15:00 PM,TR,"Chimhanda,Tsarai Runyararo",Primary Instructor
1,BUS-A,312,26706,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN113,2:30:00 PM,3:45:00 PM,R,"Kim,Joungyeon",Primary Instructor
1,BUS-A,337,26933,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KELL144,2:30:00 PM,3:45:00 PM,T,"Kim,Joungyeon",Primary Instructor
1,BUS-D,301,26871,Lecture,1/12/2026,5/8/2026,In Person,KOMN127,11:30:00 AM,12:45:00 PM,TR,"Ameyaw,Abdul-Kadir",Primary Instructor
1,BUS-F,301,26816,Lecture,1/12/2026,5/8/2026,In Person,KOMN113,2:30:00 PM,3:45:00 PM,TR,"Cox,Steve R",Primary Instructor
1,BUS-F,420,26708,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KELL144,11:30:00 AM,12:45:00 PM,T,"Cao,Tim",Primary Instructor
1,BUS-J,401,27316,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KELL144,10:00:00 AM,11:15:00 AM,T,"Ameyaw,Abdul-Kadir",Primary Instructor
1,BUS-J,404,27432,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN106,10:00:00 AM,11:15:00 AM,R,"Gupta,Jyoti P.",Primary Instructor
1,BUS-K,321,27433,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KELL144,4:00:00 PM,5:15:00 PM,R,"Zhukov,Konstantin",Primary Instructor
1,BUS-K,353,27046,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KELL144,4:00:00 PM,5:15:00 PM,T,"Chulkov,Dmitriy",Primary Instructor
1,BUS-L,201,26800,Lecture,1/12/2026,5/8/2026,In Person,KOMN113,11:30:00 AM,12:45:00 PM,MW,"Steele,Derick Wade",Primary Instructor
1,BUS-L,201,28719,Lecture,1/12/2026,5/8/2026,In Person,KOMN287,10:00:00 AM,11:15:00 AM,TR,"Steele,Derick Wade",Primary Instructor
1,BUS-L,406,27436,Lecture,1/12/2026,5/8/2026,In Person,KOMN108,4:00:00 PM,5:15:00 PM,TR,"Steele,Derick Wade",Primary Instructor
