Class Session Code,Subject Area,Course Catalog Number,Class Number,Course Component Short Description,Class Start Date,End Date,Instruction Mode Description,Facility ID,Start Time,End Time,Derived Meeting Pattern,Instructor Name,Instructor Role Description
1,AHLT-R,100,26694,Lecture,8/25/2025,12/19/2025,In Person,HUNT101,12:00:00 PM,2:00:00 PM,M,"Rassel,Christine M",Primary Instructor
1,AHLT-R,101,27779,Lecture,8/25/2025,12/19/2025,In Person,HUNT101,8:30:00 AM,11:00:00 AM,W,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,101,27780,Clinic,8/25/2025,12/19/2025,In Person,HUNT101,11:30:00 AM,1:30:00 PM,W,"Sebastian,Heidi Michelle",Secondary Instructor
1,AHLT-R,101,27780,Clinic,8/25/2025,12/19/2025,In Person,HUNT101,11:30:00 AM,1:30:00 PM,W,"Johnston,Amanda Lynn",Primary Instructor
1,AHLT-R,101,27781,Clinic,8/25/2025,12/19/2025,In Person,HUNT101,1:45:00 PM,3:45:00 PM,W,"Sebastian,Heidi Michelle",Secondary Instructor
1,AHLT-R,101,27781,Clinic,8/25/2025,12/19/2025,In Person,HUNT101,1:45:00 PM,3:45:00 PM,W,"Johnston,Amanda Lynn",Primary Instructor
1,AHLT-R,102,26695,Lecture,8/25/2025,12/19/2025,In Person,HUNT101,8:30:00 AM,11:00:00 AM,M,"Evelo,Anna Christine",Primary Instructor
1,AHLT-R,205,27782,Lecture,8/25/2025,12/19/2025,In Person,HUNT101,8:30:00 AM,11:00:00 AM,R,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,205,27783,Laboratory,8/25/2025,12/19/2025,In Person,HUNT101,11:30:00 AM,1:30:00 PM,R,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,205,27784,Laboratory,8/25/2025,12/19/2025,In Person,HUNT101,1:45:00 PM,3:45:00 PM,R,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,222,26753,Lecture,8/25/2025,12/19/2025,In Person,HUNT101,12:00:00 PM,2:30:00 PM,T,"Sebastian,Heidi Michelle",Primary Instructor
